series,epsilon,evasion rate
untargeted,0.0,0.020833333333333332
untargeted,0.02,0.024242424242424242
untargeted,0.05,0.03484848484848485
untargeted,0.1,0.0571969696969697
untargeted,0.2,0.11477272727272728
untargeted,0.3,0.15227272727272728
targeted at benign,0.0,0.020833333333333332
targeted at benign,0.02,0.024242424242424242
targeted at benign,0.05,0.03446969696969697
targeted at benign,0.1,0.06060606060606061
targeted at benign,0.2,0.12613636363636363
targeted at benign,0.3,0.16780303030303031
