series,epsilon,evasion rate
untargeted,0.0,0.015151515151515152
untargeted,0.02,0.021212121212121213
untargeted,0.05,0.030303030303030304
untargeted,0.1,0.048484848484848485
untargeted,0.2,0.09393939393939393
untargeted,0.3,0.11212121212121212
targeted at benign,0.0,0.015151515151515152
targeted at benign,0.02,0.021212121212121213
targeted at benign,0.05,0.03333333333333333
targeted at benign,0.1,0.05454545454545454
targeted at benign,0.2,0.09696969696969697
targeted at benign,0.3,0.1303030303030303
