series,epsilon,evasion rate
untargeted,0.0,0.014015151515151515
untargeted,0.02,0.019696969696969695
untargeted,0.05,0.03106060606060606
untargeted,0.1,0.06553030303030304
untargeted,0.2,0.13977272727272727
untargeted,0.3,0.21818181818181817
targeted at benign,0.0,0.014015151515151515
targeted at benign,0.02,0.019696969696969695
targeted at benign,0.05,0.03257575757575758
targeted at benign,0.1,0.07045454545454545
targeted at benign,0.2,0.16893939393939394
targeted at benign,0.3,0.36022727272727273
