series,epsilon,evasion rate
untargeted,0.0,0.017424242424242425
untargeted,0.02,0.023106060606060606
untargeted,0.05,0.041666666666666664
untargeted,0.1,0.08484848484848485
untargeted,0.2,0.1943181818181818
untargeted,0.3,0.2863636363636364
targeted at benign,0.0,0.017424242424242425
targeted at benign,0.02,0.023106060606060606
targeted at benign,0.05,0.04242424242424243
targeted at benign,0.1,0.0981060606060606
targeted at benign,0.2,0.30416666666666664
targeted at benign,0.3,0.5435606060606061
